"Column Name","Label"
"S0101_C03_013MA","Annotation of Female!!Margin of Error!!AGE!!55 to 59 years"
"S0101_C03_013EA","Annotation of Female!!Estimate!!AGE!!55 to 59 years"
"S0101_C01_014E","Total!!Estimate!!AGE!!60 to 64 years"
"S0101_C01_014EA","Annotation of Total!!Estimate!!AGE!!60 to 64 years"
"S0101_C01_014M","Total!!Margin of Error!!AGE!!60 to 64 years"
"S0101_C01_014MA","Annotation of Total!!Margin of Error!!AGE!!60 to 64 years"
"S0101_C02_014E","Male!!Estimate!!AGE!!60 to 64 years"
"S0101_C02_014M","Male!!Margin of Error!!AGE!!60 to 64 years"
"S0101_C02_014MA","Annotation of Male!!Margin of Error!!AGE!!60 to 64 years"
"S0101_C02_014EA","Annotation of Male!!Estimate!!AGE!!60 to 64 years"
"S0101_C03_014E","Female!!Estimate!!AGE!!60 to 64 years"
"S0101_C03_014M","Female!!Margin of Error!!AGE!!60 to 64 years"
"S0101_C03_014MA","Annotation of Female!!Margin of Error!!AGE!!60 to 64 years"
"S0101_C03_014EA","Annotation of Female!!Estimate!!AGE!!60 to 64 years"
"S0101_C01_015E","Total!!Estimate!!AGE!!65 to 69 years"
"S0101_C01_015M","Total!!Margin of Error!!AGE!!65 to 69 years"
"S0101_C01_015MA","Annotation of Total!!Margin of Error!!AGE!!65 to 69 years"
"S0101_C01_015EA","Annotation of Total!!Estimate!!AGE!!65 to 69 years"
"S0101_C02_015E","Male!!Estimate!!AGE!!65 to 69 years"
"S0101_C02_015M","Male!!Margin of Error!!AGE!!65 to 69 years"
"S0101_C02_015MA","Annotation of Male!!Margin of Error!!AGE!!65 to 69 years"
"S0101_C02_015EA","Annotation of Male!!Estimate!!AGE!!65 to 69 years"
"S0101_C03_015E","Female!!Estimate!!AGE!!65 to 69 years"
"S0101_C03_015EA","Annotation of Female!!Estimate!!AGE!!65 to 69 years"
"S0101_C03_015M","Female!!Margin of Error!!AGE!!65 to 69 years"
"S0101_C03_015MA","Annotation of Female!!Margin of Error!!AGE!!65 to 69 years"
"S0101_C01_016E","Total!!Estimate!!AGE!!70 to 74 years"
"S0101_C01_016EA","Annotation of Total!!Estimate!!AGE!!70 to 74 years"
"S0101_C01_016M","Total!!Margin of Error!!AGE!!70 to 74 years"
"S0101_C01_016MA","Annotation of Total!!Margin of Error!!AGE!!70 to 74 years"
"S0101_C02_016E","Male!!Estimate!!AGE!!70 to 74 years"
"S0101_C02_016M","Male!!Margin of Error!!AGE!!70 to 74 years"
"S0101_C02_016MA","Annotation of Male!!Margin of Error!!AGE!!70 to 74 years"
"S0101_C02_016EA","Annotation of Male!!Estimate!!AGE!!70 to 74 years"
"S0101_C03_016E","Female!!Estimate!!AGE!!70 to 74 years"
"S0101_C03_016EA","Annotation of Female!!Estimate!!AGE!!70 to 74 years"
"S0101_C03_016M","Female!!Margin of Error!!AGE!!70 to 74 years"
"S0101_C03_016MA","Annotation of Female!!Margin of Error!!AGE!!70 to 74 years"
"S0101_C01_017E","Total!!Estimate!!AGE!!75 to 79 years"
"S0101_C01_017M","Total!!Margin of Error!!AGE!!75 to 79 years"
"S0101_C01_017MA","Annotation of Total!!Margin of Error!!AGE!!75 to 79 years"
"S0101_C01_017EA","Annotation of Total!!Estimate!!AGE!!75 to 79 years"
"S0101_C02_017E","Male!!Estimate!!AGE!!75 to 79 years"
"S0101_C02_017EA","Annotation of Male!!Estimate!!AGE!!75 to 79 years"
"S0101_C02_017M","Male!!Margin of Error!!AGE!!75 to 79 years"
"S0101_C02_017MA","Annotation of Male!!Margin of Error!!AGE!!75 to 79 years"
"S0101_C03_017E","Female!!Estimate!!AGE!!75 to 79 years"
"S0101_C03_017M","Female!!Margin of Error!!AGE!!75 to 79 years"
"S0101_C03_017MA","Annotation of Female!!Margin of Error!!AGE!!75 to 79 years"
"S0101_C03_017EA","Annotation of Female!!Estimate!!AGE!!75 to 79 years"
"S0101_C01_018E","Total!!Estimate!!AGE!!80 to 84 years"
"S0101_C01_018M","Total!!Margin of Error!!AGE!!80 to 84 years"
"S0101_C01_018MA","Annotation of Total!!Margin of Error!!AGE!!80 to 84 years"
"S0101_C01_018EA","Annotation of Total!!Estimate!!AGE!!80 to 84 years"
"S0101_C02_018E","Male!!Estimate!!AGE!!80 to 84 years"
"S0101_C02_018EA","Annotation of Male!!Estimate!!AGE!!80 to 84 years"
"S0101_C02_018M","Male!!Margin of Error!!AGE!!80 to 84 years"
"S0101_C02_018MA","Annotation of Male!!Margin of Error!!AGE!!80 to 84 years"
"S0101_C03_018E","Female!!Estimate!!AGE!!80 to 84 years"
"S0101_C03_018M","Female!!Margin of Error!!AGE!!80 to 84 years"
"S0101_C03_018MA","Annotation of Female!!Margin of Error!!AGE!!80 to 84 years"
"S0101_C03_018EA","Annotation of Female!!Estimate!!AGE!!80 to 84 years"
"S0101_C01_019E","Total!!Estimate!!AGE!!85 years and over"
"S0101_C01_019M","Total!!Margin of Error!!AGE!!85 years and over"
"S0101_C01_019MA","Annotation of Total!!Margin of Error!!AGE!!85 years and over"
"S0101_C01_019EA","Annotation of Total!!Estimate!!AGE!!85 years and over"
"S0101_C02_019E","Male!!Estimate!!AGE!!85 years and over"
"S0101_C02_019EA","Annotation of Male!!Estimate!!AGE!!85 years and over"
"S0101_C02_019M","Male!!Margin of Error!!AGE!!85 years and over"
"S0101_C02_019MA","Annotation of Male!!Margin of Error!!AGE!!85 years and over"
"S0101_C03_019E","Female!!Estimate!!AGE!!85 years and over"
"S0101_C03_019EA","Annotation of Female!!Estimate!!AGE!!85 years and over"
"S0101_C03_019M","Female!!Margin of Error!!AGE!!85 years and over"
"S0101_C03_019MA","Annotation of Female!!Margin of Error!!AGE!!85 years and over"
"S0101_C01_020E","Total!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years"
"S0101_C01_020M","Total!!Margin of Error!!SELECTED AGE CATEGORIES!!5 to 14 years"
"S0101_C01_020MA","Annotation of Total!!Margin of Error!!SELECTED AGE CATEGORIES!!5 to 14 years"
"S0101_C01_020EA","Annotation of Total!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years"
"S0101_C02_020E","Male!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years"
"S0101_C02_020M","Male!!Margin of Error!!SELECTED AGE CATEGORIES!!5 to 14 years"
"S0101_C02_020MA","Annotation of Male!!Margin of Error!!SELECTED AGE CATEGORIES!!5 to 14 years"
"S0101_C02_020EA","Annotation of Male!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years"
"S0101_C03_020E","Female!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years"
"S0101_C03_020EA","Annotation of Female!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years"
"S0101_C03_020M","Female!!Margin of Error!!SELECTED AGE CATEGORIES!!5 to 14 years"
"S0101_C03_020MA","Annotation of Female!!Margin of Error!!SELECTED AGE CATEGORIES!!5 to 14 years"
"S0101_C01_021E","Total!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years"
"S0101_C01_021M","Total!!Margin of Error!!SELECTED AGE CATEGORIES!!15 to 17 years"
"S0101_C01_021MA","Annotation of Total!!Margin of Error!!SELECTED AGE CATEGORIES!!15 to 17 years"
"S0101_C01_021EA","Annotation of Total!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years"
"S0101_C02_021E","Male!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years"
"S0101_C02_021M","Male!!Margin of Error!!SELECTED AGE CATEGORIES!!15 to 17 years"
"S0101_C02_021MA","Annotation of Male!!Margin of Error!!SELECTED AGE CATEGORIES!!15 to 17 years"
"S0101_C02_021EA","Annotation of Male!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years"
"S0101_C03_021E","Female!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years"
"S0101_C03_021EA","Annotation of Female!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years"
"S0101_C03_021M","Female!!Margin of Error!!SELECTED AGE CATEGORIES!!15 to 17 years"
"S0101_C03_021MA","Annotation of Female!!Margin of Error!!SELECTED AGE CATEGORIES!!15 to 17 years"
"S0101_C01_022E","Total!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years"
"S0101_C01_022EA","Annotation of Total!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years"
"S0101_C01_022M","Total!!Margin of Error!!SELECTED AGE CATEGORIES!!18 to 24 years"
"S0101_C01_022MA","Annotation of Total!!Margin of Error!!SELECTED AGE CATEGORIES!!18 to 24 years"
"S0101_C02_022E","Male!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years"
"S0101_C02_022EA","Annotation of Male!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years"
"S0101_C02_022M","Male!!Margin of Error!!SELECTED AGE CATEGORIES!!18 to 24 years"
"S0101_C02_022MA","Annotation of Male!!Margin of Error!!SELECTED AGE CATEGORIES!!18 to 24 years"
"S0101_C03_022E","Female!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years"
"S0101_C03_022EA","Annotation of Female!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years"
"S0101_C03_022M","Female!!Margin of Error!!SELECTED AGE CATEGORIES!!18 to 24 years"
"S0101_C03_022MA","Annotation of Female!!Margin of Error!!SELECTED AGE CATEGORIES!!18 to 24 years"
"S0101_C01_023E","Total!!Estimate!!SELECTED AGE CATEGORIES!!15 to 44 years"
